episode,reward,mean100,epsilon,opponent_for_episode,win,tie,agent_score,best_score,score_diff,open3_traps,model_name,run_id,save_path,device,episodes_total,players,opponent_schedule,curriculum_switch_ep,lr,gamma,batch_size,buffer_size,target_update,eps_start,eps_end,eps_decay_episodes,open_box_penalty,combo_multiplier,base_box_reward,start_player_random,timestamp
1,-265.669921875,-265.669921875,1.0,random,0,0,11,14,-3,76,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
2,-80.0,-172.8349609375,0.9995250000000001,greedy,0,0,0,25,-25,16,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
3,40.739013671875,-101.64363606770833,0.99905,random,1,0,16,16,7,70,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
4,-89.0,-98.48272705078125,0.9985750000000001,greedy,0,0,1,24,-23,18,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
5,-641.125,-207.011181640625,0.9981,random,0,0,8,17,-9,131,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
6,-78.0,-185.50931803385416,0.9976250000000001,greedy,0,0,2,23,-21,16,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
7,-309.2421875,-203.18544224330358,0.99715,random,1,0,14,14,3,73,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
8,-80.0,-187.78726196289062,0.9966750000000001,greedy,0,0,0,25,-25,16,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
9,-479.09375,-220.15464952256946,0.9962,random,0,0,12,13,-1,102,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
10,-85.0,-206.6391845703125,0.9957250000000001,greedy,0,0,0,25,-25,17,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
11,-609.75,-243.28562233664772,0.99525,random,0,0,8,17,-9,124,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
12,-76.875,-229.4180704752604,0.9947750000000001,greedy,0,0,4,21,-17,17,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
13,-360.5,-239.50129582331732,0.9943,random,0,0,4,21,-17,73,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
14,-82.5,-228.28691755022322,0.9938250000000001,greedy,0,0,2,23,-21,17,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
15,-278.7421875,-231.65060221354167,0.99335,random,0,0,10,15,-5,66,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
16,-90.0,-222.7974395751953,0.9928750000000001,greedy,0,0,0,25,-25,18,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
17,-33.75732421875,-211.67743278952207,0.9924,random,1,0,19,19,13,60,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
18,-67.5,-203.66757541232639,0.9919250000000001,greedy,0,0,2,23,-21,14,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
19,-378.36328125,-212.86208624588815,0.9914499999999999,random,1,0,14,14,3,92,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
20,-80.0,-206.21898193359374,0.990975,greedy,0,0,0,25,-25,16,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
21,-305.1171875,-210.9284202938988,0.9905,random,1,0,14,14,3,73,Alternating,20250831-124634,models/Alternating.pth,mps,10000,2,alternate,1000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:15:18
