episode,reward,mean100,epsilon,opponent_for_episode,win,tie,agent_score,best_score,score_diff,open3_traps,model_name,run_id,save_path,device,episodes_total,players,opponent_schedule,curriculum_switch_ep,lr,gamma,batch_size,buffer_size,target_update,eps_start,eps_end,eps_decay_episodes,open_box_penalty,combo_multiplier,base_box_reward,start_player_random,timestamp
1,-469.0,-469.0,1.0,random,0,0,11,14,-3,98,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
2,-405.1875,-437.09375,0.9995250000000001,random,0,0,12,13,-1,86,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
3,-248.169921875,-374.119140625,0.99905,random,1,0,13,13,1,73,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
4,883.4316711425781,-59.73143768310547,0.9985750000000001,random,1,0,21,21,17,87,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
5,-414.875,-130.76015014648436,0.9981,random,0,0,6,19,-13,85,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
6,-283.169921875,-156.16177876790366,0.9976250000000001,random,1,0,13,13,1,80,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
7,-385.03125,-188.857417515346,0.99715,random,1,0,16,16,7,85,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
8,-421.75,-217.96899032592773,0.9966750000000001,random,0,0,6,19,-13,86,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
9,-405.61328125,-238.818355984158,0.9962,random,1,0,13,13,1,97,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
10,-244.7548828125,-239.4120086669922,0.9957250000000001,random,1,0,18,18,11,85,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
11,-258.2548828125,-241.12499722567472,0.99525,random,1,0,15,15,5,87,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
12,-281.11328125,-244.4573542277018,0.9947750000000001,random,1,0,13,13,1,72,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
13,-317.42578125,-250.070310152494,0.9943,random,1,0,18,18,11,82,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
14,-451.203125,-264.43693978445873,0.9938250000000001,random,1,0,14,14,3,99,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
15,-396.21875,-273.22239379882814,0.99335,random,0,0,9,16,-7,84,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
16,-418.875,-282.32568168640137,0.9928750000000001,random,1,0,17,17,9,90,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
17,-303.169921875,-283.55181346220127,0.9924,random,1,0,17,17,9,85,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
18,9611.270190238953,266.1605200767517,0.9919250000000001,random,1,0,23,23,21,73,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
19,193.8585205078125,262.3551516783865,0.9914499999999999,random,1,0,16,16,7,78,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
20,1421.5225067138672,320.3135194301605,0.990975,random,1,0,24,24,23,111,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
21,-253.703125,292.9793935049148,0.9905,random,1,0,16,16,7,60,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
22,-319.328125,265.1472335728732,0.990025,random,0,0,10,15,-5,71,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
23,164.9835205078125,260.7922895265662,0.98955,random,1,0,18,18,11,85,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
24,-248.7421875,239.56168631712595,0.989075,random,0,0,10,15,-5,60,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
25,454.78778076171875,248.17073009490966,0.9886,random,1,0,16,16,7,84,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
26,-239.50732421875,229.4138818520766,0.988125,random,1,0,19,19,13,101,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
27,-404.328125,205.94195567237006,0.98765,random,0,0,10,15,-5,88,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
28,-437.296875,182.969140291214,0.987175,random,1,0,16,16,7,99,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
29,9615.770190238953,508.2381420135498,0.9867,random,1,0,23,23,21,72,Curriculum,20250831-131750,models/Curriculum.pth,mps,10000,2,curriculum,9000,0.001,0.99,256,100000,1000,1.0,0.05,2000,5.0,1.5,1.0,True,2025-08-31T13:47:41
